HG00096	CTRL_HG00096
HG01982	CTRL_HG01982
HG01983	CTRL_HG01983
HG01984	CTRL_HG01984
HG01985	CTRL_HG01985
HG01986	CTRL_HG01986
HG01987	CTRL_HG01987
HG01988	CTRL_HG01988
HG01989	CTRL_HG01989
HG01990	CTRL_HG01990
HG01991	CTRL_HG01991
HG01992	CTRL_HG01992
HG01993	CTRL_HG01993
HG01997	CTRL_HG01997
HG01998	CTRL_HG01998
HG02002	CTRL_HG02002
HG02003	CTRL_HG02003
HG02004	CTRL_HG02004
HG02006	CTRL_HG02006
HG02008	CTRL_HG02008
HG02009	CTRL_HG02009
HG02010	CTRL_HG02010
HG02011	CTRL_HG02011
HG02012	CTRL_HG02012
HG02013	CTRL_HG02013
HG02014	CTRL_HG02014
HG02015	CTRL_HG02015
HG02016	CTRL_HG02016
HG02017	CTRL_HG02017
HG02018	CTRL_HG02018
HG02019	CTRL_HG02019
HG02020	CTRL_HG02020
HG02023	CTRL_HG02023
HG02024	CTRL_HG02024
HG02025	CTRL_HG02025
HG02026	CTRL_HG02026
HG02027	CTRL_HG02027
HG02028	CTRL_HG02028
HG02029	CTRL_HG02029
HG02030	CTRL_HG02030
HG02031	CTRL_HG02031
HG02032	CTRL_HG02032
HG02035	CTRL_HG02035
HG02040	CTRL_HG02040
HG02047	CTRL_HG02047
HG02048	CTRL_HG02048
HG02049	CTRL_HG02049
HG02050	CTRL_HG02050
HG02051	CTRL_HG02051
HG02052	CTRL_HG02052
HG02053	CTRL_HG02053
HG02054	CTRL_HG02054
HG02055	CTRL_HG02055
HG02056	CTRL_HG02056
HG02057	CTRL_HG02057
HG02058	CTRL_HG02058
HG02059	CTRL_HG02059
HG02060	CTRL_HG02060
HG02061	CTRL_HG02061
HG02064	CTRL_HG02064
HG02067	CTRL_HG02067
HG02068	CTRL_HG02068
HG02069	CTRL_HG02069
HG02070	CTRL_HG02070
HG02071	CTRL_HG02071
HG02072	CTRL_HG02072
HG02073	CTRL_HG02073
HG02074	CTRL_HG02074
HG02075	CTRL_HG02075
HG02076	CTRL_HG02076
HG02077	CTRL_HG02077
HG02078	CTRL_HG02078
HG02079	CTRL_HG02079
HG02080	CTRL_HG02080
HG02081	CTRL_HG02081
HG02082	CTRL_HG02082
HG02083	CTRL_HG02083
HG02084	CTRL_HG02084
HG02085	CTRL_HG02085
HG02086	CTRL_HG02086
HG02087	CTRL_HG02087
HG02088	CTRL_HG02088
HG02089	CTRL_HG02089
HG02090	CTRL_HG02090
HG02091	CTRL_HG02091
HG02095	CTRL_HG02095
HG02102	CTRL_HG02102
HG02104	CTRL_HG02104
HG02105	CTRL_HG02105
HG02106	CTRL_HG02106
HG02107	CTRL_HG02107
HG02108	CTRL_HG02108
HG02111	CTRL_HG02111
HG02113	CTRL_HG02113
HG02116	CTRL_HG02116
HG02120	CTRL_HG02120
HG02121	CTRL_HG02121
HG02122	CTRL_HG02122
HG02126	CTRL_HG02126
HG02127	CTRL_HG02127
HG02128	CTRL_HG02128
HG02129	CTRL_HG02129
HG02130	CTRL_HG02130
HG02131	CTRL_HG02131
HG02132	CTRL_HG02132
HG02133	CTRL_HG02133
HG02134	CTRL_HG02134
HG02135	CTRL_HG02135
HG02136	CTRL_HG02136
HG02137	CTRL_HG02137
HG02138	CTRL_HG02138
HG02139	CTRL_HG02139
HG02140	CTRL_HG02140
HG02141	CTRL_HG02141
HG02142	CTRL_HG02142
HG02143	CTRL_HG02143
HG02144	CTRL_HG02144
HG02145	CTRL_HG02145
HG02146	CTRL_HG02146
HG02147	CTRL_HG02147
HG02148	CTRL_HG02148
HG02150	CTRL_HG02150
HG02151	CTRL_HG02151
HG02152	CTRL_HG02152
HG02153	CTRL_HG02153
HG02154	CTRL_HG02154
HG02155	CTRL_HG02155
HG02156	CTRL_HG02156
HG02164	CTRL_HG02164
HG02165	CTRL_HG02165
HG02166	CTRL_HG02166
HG02178	CTRL_HG02178
HG02179	CTRL_HG02179
HG02180	CTRL_HG02180
HG02181	CTRL_HG02181
HG02182	CTRL_HG02182
HG02184	CTRL_HG02184
HG02185	CTRL_HG02185
HG02186	CTRL_HG02186
HG02187	CTRL_HG02187
HG02188	CTRL_HG02188
HG02190	CTRL_HG02190
HG02215	CTRL_HG02215
HG02219	CTRL_HG02219
HG02220	CTRL_HG02220
HG02221	CTRL_HG02221
HG02222	CTRL_HG02222
HG02223	CTRL_HG02223
HG02224	CTRL_HG02224
HG02225	CTRL_HG02225
HG02229	CTRL_HG02229
HG02230	CTRL_HG02230
HG02231	CTRL_HG02231
HG02232	CTRL_HG02232
HG02233	CTRL_HG02233
HG02234	CTRL_HG02234
HG02235	CTRL_HG02235
HG02236	CTRL_HG02236
HG02237	CTRL_HG02237
HG02238	CTRL_HG02238
HG02239	CTRL_HG02239
HG02240	CTRL_HG02240
HG02250	CTRL_HG02250
HG02252	CTRL_HG02252
HG02253	CTRL_HG02253
HG02255	CTRL_HG02255
HG02256	CTRL_HG02256
HG02257	CTRL_HG02257
HG02258	CTRL_HG02258
HG02259	CTRL_HG02259
HG02260	CTRL_HG02260
HG02261	CTRL_HG02261
HG02262	CTRL_HG02262
HG02265	CTRL_HG02265
HG02266	CTRL_HG02266
HG02271	CTRL_HG02271
HG02272	CTRL_HG02272
HG02273	CTRL_HG02273
HG02274	CTRL_HG02274
HG02275	CTRL_HG02275
HG02277	CTRL_HG02277
HG02278	CTRL_HG02278
HG02279	CTRL_HG02279
HG02280	CTRL_HG02280
HG02281	CTRL_HG02281
HG02282	CTRL_HG02282
HG02283	CTRL_HG02283
HG02284	CTRL_HG02284
HG02285	CTRL_HG02285
HG02286	CTRL_HG02286
HG02287	CTRL_HG02287
HG02291	CTRL_HG02291
HG02292	CTRL_HG02292
HG02293	CTRL_HG02293
HG02298	CTRL_HG02298
HG02299	CTRL_HG02299
HG02300	CTRL_HG02300
HG02301	CTRL_HG02301
HG02302	CTRL_HG02302
HG02303	CTRL_HG02303
HG02304	CTRL_HG02304
HG02307	CTRL_HG02307
HG02308	CTRL_HG02308
HG02309	CTRL_HG02309
HG02312	CTRL_HG02312
HG02314	CTRL_HG02314
HG02315	CTRL_HG02315
HG02316	CTRL_HG02316
HG02317	CTRL_HG02317
HG02318	CTRL_HG02318
HG02321	CTRL_HG02321
HG02322	CTRL_HG02322
HG02323	CTRL_HG02323
HG02325	CTRL_HG02325
HG02330	CTRL_HG02330
HG02332	CTRL_HG02332
HG02334	CTRL_HG02334
HG02337	CTRL_HG02337
HG02339	CTRL_HG02339
HG02343	CTRL_HG02343
HG02345	CTRL_HG02345
HG02348	CTRL_HG02348
HG02351	CTRL_HG02351
HG02353	CTRL_HG02353
HG02355	CTRL_HG02355
HG02356	CTRL_HG02356
HG02360	CTRL_HG02360
HG02364	CTRL_HG02364
HG02367	CTRL_HG02367
HG02371	CTRL_HG02371
HG02373	CTRL_HG02373
HG02374	CTRL_HG02374
HG02375	CTRL_HG02375
HG02379	CTRL_HG02379
HG02380	CTRL_HG02380
HG02382	CTRL_HG02382
HG02383	CTRL_HG02383
HG02384	CTRL_HG02384
HG02385	CTRL_HG02385
HG02386	CTRL_HG02386
HG02389	CTRL_HG02389
HG02390	CTRL_HG02390
HG02391	CTRL_HG02391
HG02392	CTRL_HG02392
HG02394	CTRL_HG02394
HG02395	CTRL_HG02395
HG02396	CTRL_HG02396
HG02397	CTRL_HG02397
HG02398	CTRL_HG02398
HG02399	CTRL_HG02399
HG02401	CTRL_HG02401
HG02402	CTRL_HG02402
HG02406	CTRL_HG02406
HG02407	CTRL_HG02407
HG02408	CTRL_HG02408
HG02409	CTRL_HG02409
HG02410	CTRL_HG02410
HG02419	CTRL_HG02419
HG02420	CTRL_HG02420
HG02425	CTRL_HG02425
HG02427	CTRL_HG02427
HG02429	CTRL_HG02429
HG02433	CTRL_HG02433
HG02439	CTRL_HG02439
HG02442	CTRL_HG02442
HG02445	CTRL_HG02445
HG02449	CTRL_HG02449
HG02450	CTRL_HG02450
HG02451	CTRL_HG02451
HG02455	CTRL_HG02455
HG02461	CTRL_HG02461
HG02462	CTRL_HG02462
HG02463	CTRL_HG02463
HG02464	CTRL_HG02464
HG02465	CTRL_HG02465
HG02466	CTRL_HG02466
HG02470	CTRL_HG02470
HG02471	CTRL_HG02471
HG02476	CTRL_HG02476
HG02477	CTRL_HG02477
HG02479	CTRL_HG02479
HG02481	CTRL_HG02481
HG02484	CTRL_HG02484
HG02485	CTRL_HG02485
HG02489	CTRL_HG02489
HG02490	CTRL_HG02490
HG02491	CTRL_HG02491
HG02492	CTRL_HG02492
HG02493	CTRL_HG02493
HG02494	CTRL_HG02494
HG02495	CTRL_HG02495
HG02496	CTRL_HG02496
HG02497	CTRL_HG02497
HG02501	CTRL_HG02501
HG02502	CTRL_HG02502
HG02505	CTRL_HG02505
HG02508	CTRL_HG02508
HG02511	CTRL_HG02511
HG02512	CTRL_HG02512
HG02513	CTRL_HG02513
HG02514	CTRL_HG02514
HG02521	CTRL_HG02521
HG02522	CTRL_HG02522
HG02523	CTRL_HG02523
HG02524	CTRL_HG02524
HG02525	CTRL_HG02525
HG02526	CTRL_HG02526
HG02536	CTRL_HG02536
HG02537	CTRL_HG02537
HG02541	CTRL_HG02541
HG02545	CTRL_HG02545
HG02546	CTRL_HG02546
HG02549	CTRL_HG02549
HG02554	CTRL_HG02554
HG02555	CTRL_HG02555
HG02557	CTRL_HG02557
HG02558	CTRL_HG02558
HG02561	CTRL_HG02561
HG02562	CTRL_HG02562
HG02563	CTRL_HG02563
HG02568	CTRL_HG02568
HG02569	CTRL_HG02569
HG02570	CTRL_HG02570
HG02571	CTRL_HG02571
HG02572	CTRL_HG02572
HG02573	CTRL_HG02573
HG02574	CTRL_HG02574
HG02575	CTRL_HG02575
HG02577	CTRL_HG02577
HG02580	CTRL_HG02580
HG02582	CTRL_HG02582
HG02583	CTRL_HG02583
HG02584	CTRL_HG02584
HG02585	CTRL_HG02585
HG02586	CTRL_HG02586
HG02587	CTRL_HG02587
HG02588	CTRL_HG02588
HG02589	CTRL_HG02589
HG02590	CTRL_HG02590
HG02594	CTRL_HG02594
HG02595	CTRL_HG02595
HG02596	CTRL_HG02596
HG02597	CTRL_HG02597
HG02600	CTRL_HG02600
HG02601	CTRL_HG02601
HG02602	CTRL_HG02602
HG02603	CTRL_HG02603
HG02604	CTRL_HG02604
HG02605	CTRL_HG02605
HG02610	CTRL_HG02610
HG02611	CTRL_HG02611
HG02612	CTRL_HG02612
HG02613	CTRL_HG02613
HG02614	CTRL_HG02614
HG02615	CTRL_HG02615
HG02620	CTRL_HG02620
HG02621	CTRL_HG02621
HG02622	CTRL_HG02622
HG02623	CTRL_HG02623
HG02624	CTRL_HG02624
HG02625	CTRL_HG02625
HG02628	CTRL_HG02628
HG02629	CTRL_HG02629
HG02630	CTRL_HG02630
HG02634	CTRL_HG02634
HG02635	CTRL_HG02635
HG02636	CTRL_HG02636
HG02642	CTRL_HG02642
HG02643	CTRL_HG02643
HG02644	CTRL_HG02644
HG02645	CTRL_HG02645
HG02646	CTRL_HG02646
HG02647	CTRL_HG02647
HG02648	CTRL_HG02648
HG02649	CTRL_HG02649
HG02650	CTRL_HG02650
HG02651	CTRL_HG02651
HG02652	CTRL_HG02652
HG02653	CTRL_HG02653
HG02654	CTRL_HG02654
HG02655	CTRL_HG02655
HG02656	CTRL_HG02656
HG02657	CTRL_HG02657
HG02658	CTRL_HG02658
HG02659	CTRL_HG02659
HG02660	CTRL_HG02660
HG02661	CTRL_HG02661
HG02662	CTRL_HG02662
HG02666	CTRL_HG02666
HG02667	CTRL_HG02667
HG02668	CTRL_HG02668
HG02675	CTRL_HG02675
HG02676	CTRL_HG02676
HG02677	CTRL_HG02677
HG02678	CTRL_HG02678
HG02679	CTRL_HG02679
HG02680	CTRL_HG02680
HG02681	CTRL_HG02681
HG02682	CTRL_HG02682
HG02683	CTRL_HG02683
HG02684	CTRL_HG02684
HG02685	CTRL_HG02685
HG02686	CTRL_HG02686
HG02687	CTRL_HG02687
HG02688	CTRL_HG02688
HG02689	CTRL_HG02689
HG02690	CTRL_HG02690
HG02691	CTRL_HG02691
HG02692	CTRL_HG02692
HG02694	CTRL_HG02694
HG02696	CTRL_HG02696
HG02697	CTRL_HG02697
HG02698	CTRL_HG02698
HG02699	CTRL_HG02699
HG02700	CTRL_HG02700
HG02701	CTRL_HG02701
HG02702	CTRL_HG02702
HG02703	CTRL_HG02703
HG02704	CTRL_HG02704
HG02715	CTRL_HG02715
HG02716	CTRL_HG02716
HG02717	CTRL_HG02717
HG02721	CTRL_HG02721
HG02722	CTRL_HG02722
HG02723	CTRL_HG02723
HG02724	CTRL_HG02724
HG02725	CTRL_HG02725
HG02726	CTRL_HG02726
HG02727	CTRL_HG02727
HG02728	CTRL_HG02728
HG02729	CTRL_HG02729
HG02731	CTRL_HG02731
HG02733	CTRL_HG02733
HG02734	CTRL_HG02734
HG02735	CTRL_HG02735
HG02736	CTRL_HG02736
HG02737	CTRL_HG02737
HG02738	CTRL_HG02738
HG02756	CTRL_HG02756
HG02757	CTRL_HG02757
HG02759	CTRL_HG02759
HG02760	CTRL_HG02760
HG02761	CTRL_HG02761
HG02762	CTRL_HG02762
HG02763	CTRL_HG02763
HG02764	CTRL_HG02764
HG02768	CTRL_HG02768
HG02769	CTRL_HG02769
HG02770	CTRL_HG02770
HG02771	CTRL_HG02771
HG02772	CTRL_HG02772
HG02773	CTRL_HG02773
HG02774	CTRL_HG02774
HG02775	CTRL_HG02775
HG02776	CTRL_HG02776
HG02778	CTRL_HG02778
HG02780	CTRL_HG02780
HG02783	CTRL_HG02783
HG02784	CTRL_HG02784
HG02785	CTRL_HG02785
HG02786	CTRL_HG02786
HG02787	CTRL_HG02787
HG02788	CTRL_HG02788
HG02789	CTRL_HG02789
HG02790	CTRL_HG02790
HG02791	CTRL_HG02791
HG02792	CTRL_HG02792
HG02793	CTRL_HG02793
HG02794	CTRL_HG02794
HG02798	CTRL_HG02798
HG02799	CTRL_HG02799
HG02800	CTRL_HG02800
HG02804	CTRL_HG02804
HG02805	CTRL_HG02805
HG02806	CTRL_HG02806
HG02807	CTRL_HG02807
HG02808	CTRL_HG02808
HG02809	CTRL_HG02809
HG02810	CTRL_HG02810
HG02811	CTRL_HG02811
HG02812	CTRL_HG02812
HG02813	CTRL_HG02813
HG02814	CTRL_HG02814
HG02815	CTRL_HG02815
HG02816	CTRL_HG02816
HG02817	CTRL_HG02817
HG02818	CTRL_HG02818
HG02819	CTRL_HG02819
HG02820	CTRL_HG02820
HG02821	CTRL_HG02821
HG02836	CTRL_HG02836
HG02837	CTRL_HG02837
HG02838	CTRL_HG02838
HG02839	CTRL_HG02839
HG02840	CTRL_HG02840
HG02841	CTRL_HG02841
HG02851	CTRL_HG02851
HG02852	CTRL_HG02852
HG02853	CTRL_HG02853
HG02854	CTRL_HG02854
HG02855	CTRL_HG02855
HG02856	CTRL_HG02856
HG02860	CTRL_HG02860
HG02861	CTRL_HG02861
HG02862	CTRL_HG02862
HG02869	CTRL_HG02869
HG02870	CTRL_HG02870
HG02871	CTRL_HG02871
HG02878	CTRL_HG02878
HG02879	CTRL_HG02879
HG02880	CTRL_HG02880
HG02881	CTRL_HG02881
HG02882	CTRL_HG02882
HG02883	CTRL_HG02883
HG02884	CTRL_HG02884
HG02885	CTRL_HG02885
HG02886	CTRL_HG02886
HG02887	CTRL_HG02887
HG02888	CTRL_HG02888
HG02889	CTRL_HG02889
HG02890	CTRL_HG02890
HG02891	CTRL_HG02891
HG02892	CTRL_HG02892
HG02895	CTRL_HG02895
HG02896	CTRL_HG02896
HG02897	CTRL_HG02897
HG02922	CTRL_HG02922
HG02923	CTRL_HG02923
HG02924	CTRL_HG02924
HG02938	CTRL_HG02938
HG02941	CTRL_HG02941
HG02943	CTRL_HG02943
HG02944	CTRL_HG02944
HG02945	CTRL_HG02945
HG02946	CTRL_HG02946
HG02947	CTRL_HG02947
HG02948	CTRL_HG02948
HG02952	CTRL_HG02952
HG02953	CTRL_HG02953
HG02954	CTRL_HG02954
HG02964	CTRL_HG02964
HG02965	CTRL_HG02965
HG02966	CTRL_HG02966
HG02968	CTRL_HG02968
HG02970	CTRL_HG02970
HG02971	CTRL_HG02971
HG02972	CTRL_HG02972
HG02973	CTRL_HG02973
HG02974	CTRL_HG02974
HG02975	CTRL_HG02975
HG02976	CTRL_HG02976
HG02977	CTRL_HG02977
HG02978	CTRL_HG02978
HG02979	CTRL_HG02979
HG02980	CTRL_HG02980
HG02981	CTRL_HG02981
HG02982	CTRL_HG02982
HG02983	CTRL_HG02983
HG02984	CTRL_HG02984
HG03006	CTRL_HG03006
HG03007	CTRL_HG03007
HG03008	CTRL_HG03008
HG03009	CTRL_HG03009
HG03012	CTRL_HG03012
HG03015	CTRL_HG03015
HG03016	CTRL_HG03016
HG03017	CTRL_HG03017
HG03018	CTRL_HG03018
HG03019	CTRL_HG03019
HG03021	CTRL_HG03021
HG03022	CTRL_HG03022
HG03024	CTRL_HG03024
HG03025	CTRL_HG03025
HG03026	CTRL_HG03026
HG03027	CTRL_HG03027
HG03028	CTRL_HG03028
HG03029	CTRL_HG03029
HG03033	CTRL_HG03033
HG03034	CTRL_HG03034
HG03035	CTRL_HG03035
HG03039	CTRL_HG03039
HG03040	CTRL_HG03040
HG03041	CTRL_HG03041
HG03045	CTRL_HG03045
HG03046	CTRL_HG03046
HG03047	CTRL_HG03047
HG03048	CTRL_HG03048
HG03049	CTRL_HG03049
HG03050	CTRL_HG03050
HG03052	CTRL_HG03052
HG03054	CTRL_HG03054
HG03055	CTRL_HG03055
HG03056	CTRL_HG03056
HG03057	CTRL_HG03057
HG03058	CTRL_HG03058
HG03060	CTRL_HG03060
HG03061	CTRL_HG03061
HG03063	CTRL_HG03063
HG03064	CTRL_HG03064
HG03065	CTRL_HG03065
HG03066	CTRL_HG03066
HG03069	CTRL_HG03069
HG03072	CTRL_HG03072
HG03073	CTRL_HG03073
HG03074	CTRL_HG03074
HG03077	CTRL_HG03077
HG03078	CTRL_HG03078
HG03079	CTRL_HG03079
HG03081	CTRL_HG03081
HG03082	CTRL_HG03082
HG03084	CTRL_HG03084
HG03085	CTRL_HG03085
HG03086	CTRL_HG03086
HG03088	CTRL_HG03088
HG03091	CTRL_HG03091
HG03095	CTRL_HG03095
HG03096	CTRL_HG03096
HG03097	CTRL_HG03097
HG03098	CTRL_HG03098
HG03099	CTRL_HG03099
HG03100	CTRL_HG03100
HG03101	CTRL_HG03101
HG03103	CTRL_HG03103
HG03105	CTRL_HG03105
HG03108	CTRL_HG03108
HG03109	CTRL_HG03109
HG03110	CTRL_HG03110
HG03111	CTRL_HG03111
HG03112	CTRL_HG03112
HG03113	CTRL_HG03113
HG03114	CTRL_HG03114
HG03115	CTRL_HG03115
HG03116	CTRL_HG03116
HG03117	CTRL_HG03117
HG03118	CTRL_HG03118
HG03119	CTRL_HG03119
HG03120	CTRL_HG03120
HG03121	CTRL_HG03121
HG03122	CTRL_HG03122
HG03123	CTRL_HG03123
HG03124	CTRL_HG03124
HG03125	CTRL_HG03125
HG03126	CTRL_HG03126
HG03127	CTRL_HG03127
HG03128	CTRL_HG03128
HG03129	CTRL_HG03129
HG03130	CTRL_HG03130
HG03131	CTRL_HG03131
HG03132	CTRL_HG03132
HG03133	CTRL_HG03133
HG03134	CTRL_HG03134
HG03135	CTRL_HG03135
HG03136	CTRL_HG03136
HG03137	CTRL_HG03137
HG03139	CTRL_HG03139
HG03157	CTRL_HG03157
HG03159	CTRL_HG03159
HG03160	CTRL_HG03160
HG03161	CTRL_HG03161
HG03162	CTRL_HG03162
HG03163	CTRL_HG03163
HG03164	CTRL_HG03164
HG03166	CTRL_HG03166
HG03168	CTRL_HG03168
HG03169	CTRL_HG03169
HG03170	CTRL_HG03170
HG03172	CTRL_HG03172
HG03175	CTRL_HG03175
HG03189	CTRL_HG03189
HG03190	CTRL_HG03190
HG03191	CTRL_HG03191
HG03193	CTRL_HG03193
HG03195	CTRL_HG03195
HG03196	CTRL_HG03196
HG03197	CTRL_HG03197
HG03198	CTRL_HG03198
HG03199	CTRL_HG03199
HG03200	CTRL_HG03200
HG03202	CTRL_HG03202
HG03209	CTRL_HG03209
HG03212	CTRL_HG03212
HG03224	CTRL_HG03224
HG03225	CTRL_HG03225
HG03228	CTRL_HG03228
HG03229	CTRL_HG03229
HG03230	CTRL_HG03230
HG03234	CTRL_HG03234
HG03235	CTRL_HG03235
HG03236	CTRL_HG03236
HG03237	CTRL_HG03237
HG03238	CTRL_HG03238
HG03239	CTRL_HG03239
HG03240	CTRL_HG03240
HG03241	CTRL_HG03241
HG03242	CTRL_HG03242
HG03246	CTRL_HG03246
HG03247	CTRL_HG03247
HG03248	CTRL_HG03248
HG03249	CTRL_HG03249
HG03250	CTRL_HG03250
HG03251	CTRL_HG03251
HG03258	CTRL_HG03258
HG03259	CTRL_HG03259
HG03260	CTRL_HG03260
HG03265	CTRL_HG03265
HG03267	CTRL_HG03267
HG03268	CTRL_HG03268
HG03269	CTRL_HG03269
HG03270	CTRL_HG03270
HG03271	CTRL_HG03271
HG03272	CTRL_HG03272
HG03279	CTRL_HG03279
HG03280	CTRL_HG03280
HG03291	CTRL_HG03291
HG03294	CTRL_HG03294
HG03295	CTRL_HG03295
HG03296	CTRL_HG03296
HG03297	CTRL_HG03297
HG03298	CTRL_HG03298
HG03299	CTRL_HG03299
HG03300	CTRL_HG03300
HG03301	CTRL_HG03301
HG03302	CTRL_HG03302
HG03303	CTRL_HG03303
HG03304	CTRL_HG03304
HG03305	CTRL_HG03305
HG03306	CTRL_HG03306
HG03307	CTRL_HG03307
HG03308	CTRL_HG03308
HG03309	CTRL_HG03309
HG03310	CTRL_HG03310
HG03311	CTRL_HG03311
HG03312	CTRL_HG03312
HG03313	CTRL_HG03313
HG03314	CTRL_HG03314
HG03342	CTRL_HG03342
HG03343	CTRL_HG03343
HG03344	CTRL_HG03344
HG03350	CTRL_HG03350
HG03351	CTRL_HG03351
HG03352	CTRL_HG03352
HG03354	CTRL_HG03354
HG03363	CTRL_HG03363
HG03366	CTRL_HG03366
HG03367	CTRL_HG03367
HG03368	CTRL_HG03368
HG03369	CTRL_HG03369
HG03370	CTRL_HG03370
HG03371	CTRL_HG03371
HG03372	CTRL_HG03372
HG03373	CTRL_HG03373
HG03374	CTRL_HG03374
HG03376	CTRL_HG03376
HG03378	CTRL_HG03378
HG03380	CTRL_HG03380
HG03382	CTRL_HG03382
HG03385	CTRL_HG03385
HG03388	CTRL_HG03388
HG03391	CTRL_HG03391
HG03394	CTRL_HG03394
HG03397	CTRL_HG03397
HG03401	CTRL_HG03401
HG03410	CTRL_HG03410
HG03419	CTRL_HG03419
HG03428	CTRL_HG03428
HG03432	CTRL_HG03432
HG03433	CTRL_HG03433
HG03436	CTRL_HG03436
HG03437	CTRL_HG03437
HG03438	CTRL_HG03438
HG03439	CTRL_HG03439
HG03442	CTRL_HG03442
HG03445	CTRL_HG03445
HG03446	CTRL_HG03446
HG03449	CTRL_HG03449
HG03451	CTRL_HG03451
HG03452	CTRL_HG03452
HG03453	CTRL_HG03453
HG03454	CTRL_HG03454
HG03455	CTRL_HG03455
HG03456	CTRL_HG03456
HG03457	CTRL_HG03457
HG03458	CTRL_HG03458
HG03460	CTRL_HG03460
HG03461	CTRL_HG03461
HG03464	CTRL_HG03464
HG03469	CTRL_HG03469
HG03470	CTRL_HG03470
HG03472	CTRL_HG03472
HG03473	CTRL_HG03473
HG03476	CTRL_HG03476
HG03478	CTRL_HG03478
HG03479	CTRL_HG03479
HG03480	CTRL_HG03480
HG03484	CTRL_HG03484
HG03485	CTRL_HG03485
HG03486	CTRL_HG03486
HG03487	CTRL_HG03487
HG03488	CTRL_HG03488
HG03489	CTRL_HG03489
HG03490	CTRL_HG03490
HG03491	CTRL_HG03491
HG03492	CTRL_HG03492
HG03499	CTRL_HG03499
HG03511	CTRL_HG03511
HG03514	CTRL_HG03514
HG03515	CTRL_HG03515
HG03516	CTRL_HG03516
HG03517	CTRL_HG03517
HG03518	CTRL_HG03518
HG03519	CTRL_HG03519
HG03520	CTRL_HG03520
HG03521	CTRL_HG03521
HG03522	CTRL_HG03522
HG03538	CTRL_HG03538
HG03539	CTRL_HG03539
HG03540	CTRL_HG03540
HG03547	CTRL_HG03547
HG03548	CTRL_HG03548
HG03556	CTRL_HG03556
HG03557	CTRL_HG03557
HG03558	CTRL_HG03558
HG03559	CTRL_HG03559
HG03563	CTRL_HG03563
HG03565	CTRL_HG03565
HG03567	CTRL_HG03567
HG03571	CTRL_HG03571
HG03572	CTRL_HG03572
HG03574	CTRL_HG03574
HG03575	CTRL_HG03575
HG03576	CTRL_HG03576
HG03577	CTRL_HG03577
HG03578	CTRL_HG03578
HG03579	CTRL_HG03579
HG03582	CTRL_HG03582
HG03583	CTRL_HG03583
HG03584	CTRL_HG03584
HG03585	CTRL_HG03585
HG03589	CTRL_HG03589
HG03593	CTRL_HG03593
HG03594	CTRL_HG03594
HG03595	CTRL_HG03595
HG03596	CTRL_HG03596
HG03598	CTRL_HG03598
HG03600	CTRL_HG03600
HG03603	CTRL_HG03603
HG03604	CTRL_HG03604
HG03605	CTRL_HG03605
HG03606	CTRL_HG03606
HG03607	CTRL_HG03607
HG03611	CTRL_HG03611
HG03615	CTRL_HG03615
HG03616	CTRL_HG03616
HG03617	CTRL_HG03617
HG03618	CTRL_HG03618
HG03619	CTRL_HG03619
HG03620	CTRL_HG03620
HG03624	CTRL_HG03624
HG03625	CTRL_HG03625
HG03626	CTRL_HG03626
HG03629	CTRL_HG03629
HG03631	CTRL_HG03631
HG03633	CTRL_HG03633
HG03634	CTRL_HG03634
HG03635	CTRL_HG03635
HG03636	CTRL_HG03636
HG03639	CTRL_HG03639
HG03640	CTRL_HG03640
HG03641	CTRL_HG03641
HG03642	CTRL_HG03642
HG03643	CTRL_HG03643
HG03644	CTRL_HG03644
HG03645	CTRL_HG03645
HG03646	CTRL_HG03646
HG03649	CTRL_HG03649
HG03650	CTRL_HG03650
HG03651	CTRL_HG03651
HG03652	CTRL_HG03652
HG03653	CTRL_HG03653
HG03654	CTRL_HG03654
HG03660	CTRL_HG03660
HG03663	CTRL_HG03663
HG03667	CTRL_HG03667
HG03668	CTRL_HG03668
HG03669	CTRL_HG03669
HG03672	CTRL_HG03672
HG03673	CTRL_HG03673
HG03679	CTRL_HG03679
HG03680	CTRL_HG03680
HG03681	CTRL_HG03681
HG03682	CTRL_HG03682
HG03683	CTRL_HG03683
HG03684	CTRL_HG03684
HG03685	CTRL_HG03685
HG03686	CTRL_HG03686
HG03687	CTRL_HG03687
HG03688	CTRL_HG03688
HG03689	CTRL_HG03689
HG03690	CTRL_HG03690
HG03691	CTRL_HG03691
HG03692	CTRL_HG03692
HG03693	CTRL_HG03693
HG03694	CTRL_HG03694
HG03695	CTRL_HG03695
HG03696	CTRL_HG03696
HG03697	CTRL_HG03697
HG03698	CTRL_HG03698
HG03699	CTRL_HG03699
HG03700	CTRL_HG03700
HG03701	CTRL_HG03701
HG03702	CTRL_HG03702
HG03703	CTRL_HG03703
HG03704	CTRL_HG03704
HG03705	CTRL_HG03705
HG03706	CTRL_HG03706
HG03707	CTRL_HG03707
HG03708	CTRL_HG03708
HG03709	CTRL_HG03709
HG03710	CTRL_HG03710
HG03711	CTRL_HG03711
HG03713	CTRL_HG03713
HG03714	CTRL_HG03714
HG03716	CTRL_HG03716
HG03717	CTRL_HG03717
HG03718	CTRL_HG03718
HG03719	CTRL_HG03719
HG03720	CTRL_HG03720
HG03721	CTRL_HG03721
HG03722	CTRL_HG03722
HG03725	CTRL_HG03725
HG03727	CTRL_HG03727
HG03729	CTRL_HG03729
HG03730	CTRL_HG03730
